Song,Artist,Lyrics Url,Lyrics
"Doubleback (From ""Back To The Future Part III"")",ZZ Top,,
Breaking Free,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",,
Start Of Something New,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",,
Can I Have This Dance,Zac Efron & Vanessa Hudgens,,
You Are The Music In Me,Zac Efron & Vanessa Anne Hudgens,,
Gotta Go My Own Way,Zac Efron & Vanessa Anne Hudgens,,
Everyday,Zac Efron & Vanessa Anne Hudgens,,
That's My Desire,Yvonne Baker and the Sensations,,
Who's Making Love,Young-Holt Unlimited,,
Here's My Confession,Wyatt (Earp) McPherson,,
Knock-N-Boots,Wreckx-N-Effect,,
Stag-O-Lee,Wilson Pickett,,
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,,
Merry Christmas In The NFL,"Willis ""The Guard"" & Vigorish",,
30-60-90,Willie Mitchell,,
Funky Chicken (Part 1),Willie Henderson And The Soul Explosions,,
"Count On Me (From ""Waiting To Exhale"")",Whitney Houston & CeCe Winans,,
"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,,
Dreams Of The Everyday Housewife,Wayne Newton,,
It's Just A Little Bit Too Late,Wayne Fontana & The Mindbenders,,
"What's Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard,,
"Hypnotize Me (From ""Innerspace"")",Wang Chung,,
Themes From E.T. (The Extra-Terrestrial),Walter Murphy,,
Dutchman's Gold,Walter Brennan With Billy Vaughn and his Orchestra,,
"Mozart Symphony No. 40 In G Minor K.550, 1st Movement",Waldo De Los Rios,,
Airport Love Theme (Gwen And Vern),Vincent Bell,,
Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,,
Eternity,Vikki Carr,,
"No One But You (From ""Baps"")",Veronica (Featuring Craig Mack),,
In My Room (El Amor),Verdelle Smith,,
ESPN Presents The Jock Jam,Various Artists,,
"Love Is (From ""Beverly Hills, 90210"")",Vanessa Williams/Brian McKnight,,
"Colors Of The Wind (From ""Pocahontas"")",Vanessa Williams,,
Theme From Ben Casey,Valjean on Piano,,
Blind Eye/Sweet Lorraine,Uriah Heep,,
You + Me = Love/Let's Go Down To The Disco,Undisputed Truth,,
"Can't Help Falling In Love (From ""Sliver"")",UB40,,
